시도명,지역,품목,대형폐기물구분명,규격,유무료여부,수수료,관리기관명,데이터기준일자,홈페이지,,
서울특별시,구로구,자동판매기,가전제품류,"음료, 담배",유료,15000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,자동판매기,가전제품류,자가소형(커피 등),유료,3000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,전화기,가전제품류,모든규격,무료,0,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,정수기,가전제품류,높이1m이상,유료,5000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,정수기,가전제품류,높이1m미만,무료,0,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,청소기,가전제품류,"진공, 스팀",무료,0,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,카세트라디오,가전제품류,모든규격,무료,0,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,탈수기,가전제품류,가정용,무료,0,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,텔레비전,가전제품류,42인치이상,유료,7000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,텔레비전,가전제품류,25인치이상,유료,5000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,텔레비전,가전제품류,25인치미만,유료,3000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,헤어드라이기,가전제품류,모든규격,무료,0,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,VTR,가전제품류,모든규격,무료,0,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,가습기,가전제품류,모든규격,무료,0,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,공기청정기,가전제품류,높이1m이상,유료,6000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,공기청정기,가전제품류,높이1m미만,무료,0,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,난로,가전제품류,전기(가스) 난로,무료,0,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,난로,가전제품류,벽걸이,무료,0,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,난로,가전제품류,석유난로,유료,4000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,보일러,가전제품류,16000㎈/h 이상,유료,12000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,보일러,가전제품류,16000㎈/h 미만,유료,8000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,온풍기,가전제품류,80평 이상,유료,10000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,온풍기,가전제품류,20평 이상,유료,7000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,온풍기,가전제품류,20평 미만,유료,4000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,에어컨,가전제품류,80평 이상,유료,10000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,에어컨,가전제품류,20평 이상,유료,7000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,에어컨,가전제품류,20평 미만,유료,4000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,가스오븐레인지,가전제품류,높이1m이상,유료,5000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,가스오븐레인지,가전제품류,높이1m미만,무료,0,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,가스레인지,가전제품류,모든규격,무료,0,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,녹즙기,가전제품류,모든규격,무료,0,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,믹서기,가전제품류,모든규격,무료,0,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,"밥상, 교자상",가구류,4인이상,유료,2000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,"밥상, 교자상",가구류,3인이하,유료,1000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,식기건조기,가전제품류,모든규격,무료,0,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,식기세척기,가전제품류,모든규격,무료,0,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,식탁,가구류,6인이상,유료,5000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,식탁,가구류,4인이상,유료,4000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,식탁,가구류,3인이하,유료,3000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,쌀통,생활용품류,모든규격,유료,3000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,씽크대,생활용품류,1개당,유료,2000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,"전기밥솥, 밥통",가전제품류,모든규격,무료,0,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,전자레인지,가전제품류,모든규격,무료,0,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,항아리,생활용품류,100L이상(대형),유료,4000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,항아리,생활용품류,100L미만(중형),유료,2000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,항아리,생활용품류,30L미만(소형),유료,1000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,환풍기,가전제품류,가정용,유료,2000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,환풍기,가전제품류,업소용,유료,3000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,커피포트,가전제품류,모든규격,무료,0,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,문갑,가구류,모든규격,유료,3000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,서랍장,가구류,5단이상,유료,4000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,서랍장,가구류,4단이하,유료,2000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,신발장,가구류,높이1m이상,유료,4000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,신발장,가구류,높이1m미만,유료,2000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,스탠드옷걸이,가구류,모든규격,유료,2000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,쇼파(안락의자),가구류,1인용,유료,3000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,쇼파(안락의자),가구류,2인용,유료,5000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,쇼파(안락의자),가구류,3인용,유료,7000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,쇼파(안락의자),가구류,4인용,유료,10000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,오디오 장식장,가구류,모든규격,유료,3000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,응접탁자,가구류,모든규격,유료,3000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,장롱,가구류,120㎝(4자) 1쪽,유료,15000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,장롱,가구류,90㎝(3자) 1쪽,유료,10000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,"장식장, 거실장",가구류,모든규격,유료,4000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,텔레비전 받침,가구류,모든규격,유료,3000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,화장대,가구류,모든규격,유료,2000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,CD장식장,가구류,높이1m이상,유료,2000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,CD장식장,가구류,높이1m미만,유료,1000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,아기옷장,가구류,모든규격,유료,3000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,의자,가구류,1인용,유료,2000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,의자,가구류,장의자,유료,3000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,의자,가구류,흔들의자,유료,2000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,침대,가구류,1인용 세트,유료,10000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,침대,가구류,1인용 매트리스,유료,5000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,침대,가구류,1인용 침대틀,유료,5000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,침대,가구류,2인용 세트,유료,15000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,침대,가구류,2인용 매트리스,유료,8000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,침대,가구류,2인용 침대틀,유료,7000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,회의용 탁자,가구류,8인이상,유료,5000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,회의용 탁자,가구류,8인미만,유료,3000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,노트북,가전제품류,모든규격,무료,0,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,"복사기, 복합기",가전제품류,모든규격,유료,10000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,세단기,가전제품류,모든규격,유료,5000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,오르간,생활용품류,모든규격,유료,4000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,책꽂이,가구류,모든규격,유료,2000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,책상,가구류,양쪽서랍,유료,8000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,책상,가구류,한쪽서랍,유료,6000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,책상,가구류,서랍없음,유료,3000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,책상,가구류,컴퓨터 전용,유료,3000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,책장,가구류,90㎝× 180㎝ 이상,유료,10000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,책장,가구류,90㎝× 180㎝ 미만,유료,6000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,컴퓨터 본체,가전제품류,모든규격,무료,0,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,컴퓨터 모니터,가전제품류,모든규격,무료,0,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,"키보드, 타자기",가전제품류,모든규격,무료,0,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,캐비닛,가구류,모든규격,유료,4000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,피아노,기타,일반,유료,15000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,피아노,기타,디지털,유료,4000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,"프린터, 스캐너",가전제품류,모든규격,무료,0,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,팩시밀리,가전제품류,모든규격,무료,0,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,화일캐비닛,가구류,4단이상,유료,3000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,화일캐비닛,가구류,3단이하,유료,2000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,"돗자리, 대자리",생활용품류,1평(3.3㎡)당,유료,2000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,이불,생활용품류,1채,유료,2000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,"인형, 장난감류",생활용품류,3kg당,유료,1000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,자석매트,생활용품류,1평(3.3㎡)당,유료,2000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,"카페트, 장판",생활용품류,모든규격,유료,2000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,전기장판,생활용품류,모든규격,무료,0,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,가방류,생활용품류,모든규격,유료,2000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,골프가방,생활용품류,모든규격,유료,3000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,거울,생활용품류,0.5㎡ 이상,유료,2000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,거울,생활용품류,0.5㎡ 미만,유료,1000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,목욕탕 수건함,생활용품류,모든규격,유료,2000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,비데,생활용품류,모든규격,유료,1000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,변기,생활용품류,좌변기,유료,5000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,변기,생활용품류,양변기,유료,3000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,병풍,생활용품류,2폭당,유료,1000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,브라인드,생활용품류,모든규격,유료,2000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,빨래건조대,생활용품류,모든규격,유료,1000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,시계,생활용품류,모든규격,무료,0,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,쓰레기통,생활용품류,가정용,유료,1000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,쓰레기통,생활용품류,"사무실용, 옥외용",유료,2000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,아이스박스,생활용품류,대형,유료,2000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,아이스박스,생활용품류,소형,유료,1000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,어항(수족관),생활용품류,가로1M높이60㎝초과,유료,8000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,어항(수족관),생활용품류,가로1M높이60㎝이하,유료,5000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,욕조,생활용품류,모든규격,유료,5000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,액자,생활용품류,대형(1㎡이상),유료,3000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,액자,생활용품류,소형(1㎡미만),유료,1000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,자전거,생활용품류,성인용,유료,4000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
서울특별시,구로구,자전거,생활용품류,아동용(2륜),유료,3000,서울특별시 구로구청,2024-12-17,대형폐기물 배출신고 홈페이지 개인정보 처리 동의문 - 배출신청 - 구로구청,,
